datetime,strike,quantity,price,notional,bid,ask,side,volatility,hedge,exchange,condition
2021-04-01T13:28:43Z,200,3,3.47,1041,3.35,3.5,Mid,168.0,195.86,BATS,Auto-Execution
2021-04-01T13:28:43Z,200,5,3.37,1685,3.35,3.5,Mid,164.7,195.86,PHLX,Regular
2021-04-01T13:28:43Z,200,1,3.4,340,3.35,3.5,Mid,165.7,195.86,NASDAQ,Auto-Execution
2021-04-01T13:28:44Z,200,1,3.35,335,3.3,3.5,Mid,164.0,195.86,CBOE,Auto-Execution
2021-04-01T13:28:44Z,200,2,3.35,670,3.35,3.5,Bid,164.0,195.86,BOX,Regular
2021-04-01T13:28:44Z,200,5,3.5,1750,3.35,3.5,Ask,169.0,195.86,PEARL,Auto-Execution
2021-04-01T13:28:44Z,200,1,3.5,350,3.35,3.5,Ask,169.0,195.86,EMERALD,Auto-Execution
2021-04-01T13:28:44Z,200,4,3.5,1400,3.35,3.5,Ask,169.0,195.86,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:45Z,200,1,3.44,344,3.4,3.5,Mid,169.0,195.7,MIAX,Regular
2021-04-01T13:28:45Z,200,7,3.45,2415,3.4,3.5,Mid,169.4,195.7,MIAX,Regular
2021-04-01T13:28:45Z,200,1,3.43,343,3.4,3.5,Mid,168.7,195.7,MIAX,Regular
2021-04-01T13:28:45Z,200,4,3.42,1368,3.4,3.5,Mid,168.3,195.7,MIAX,Regular
2021-04-01T13:28:45Z,200,2,3.45,690,3.4,3.5,Mid,169.4,195.7,EDGX,Regular
2021-04-01T13:28:45Z,200,5,3.45,1725,3.4,3.5,Mid,169.4,195.7,EDGX,Regular
2021-04-01T13:28:45Z,200,1,3.45,345,3.4,3.5,Mid,169.4,195.7,EDGX,Regular
2021-04-01T13:28:45Z,200,6,3.44,2064,3.4,3.5,Mid,169.0,195.7,EDGX,Regular
2021-04-01T13:28:45Z,200,3,3.45,1035,3.3,3.45,Ask,169.4,195.7,MIAX,Regular
2021-04-01T13:28:46Z,200,1,3.5,350,3.4,3.5,Ask,161.0,196.42,PEARL,Auto-Execution
2021-04-01T13:28:46Z,200,5,3.5,1750,3.4,3.5,Ask,161.0,196.42,ARCA,Auto-Execution
2021-04-01T13:28:46Z,200,2,3.5,700,3.4,3.5,Ask,161.0,196.42,BATS,Auto-Execution
2021-04-01T13:28:46Z,200,4,3.5,1400,3.4,3.5,Ask,163.7,196.23,ARCA,Auto-Execution
2021-04-01T13:28:46Z,200,2,3.5,700,3.4,3.5,Ask,170.2,195.78,PEARL,Auto-Execution
2021-04-01T13:28:47Z,200,1,3.7,370,3.5,3.7,Ask,167.2,196.43,PEARL,Auto-Execution
2021-04-01T13:28:47Z,200,5,3.7,1850,3.5,3.7,Ask,167.2,196.43,NASDAQ,Auto-Execution
2021-04-01T13:28:47Z,200,1,3.7,370,3.5,3.7,Ask,167.2,196.43,NASDAQ,Auto-Execution
2021-04-01T13:28:47Z,200,1,3.65,365,3.5,3.65,Ask,166.3,196.38,ARCA,Auto-Execution
2021-04-01T13:28:48Z,200,10,3.7,3700,3.5,3.8,Mid,169.0,196.3,MERCURY,Regular
2021-04-01T13:28:48Z,200,1,3.75,375,3.5,3.8,Mid,170.6,196.3,BATS,Auto-Execution
2021-04-01T13:28:48Z,200,1,3.8,380,3.5,3.8,Ask,172.2,196.3,C2,Auto-Execution
2021-04-01T13:28:49Z,200,1,3.65,365,3.65,3.8,Bid,166.0,196.4,BATS,Auto-Execution
2021-04-01T13:28:51Z,200,1,3.8,380,3.65,3.8,Ask,167.3,196.65,NASDAQ,Auto-Execution
2021-04-01T13:28:51Z,200,1,3.8,380,3.65,3.8,Ask,167.3,196.65,ARCA,Auto-Execution
2021-04-01T13:28:52Z,200,1,3.9,390,3.65,3.9,Ask,171.9,196.55,NASDAQ,Auto-Execution
2021-04-01T13:28:52Z,200,1,3.7,370,3.7,3.9,Bid,166.2,196.5,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:54Z,200,1,3.9,390,3.9,4,Bid,169.0,196.75,EMERALD,Auto-Execution
2021-04-01T13:28:55Z,200,1,4,400,3.75,4,Ask,172.2,196.75,CBOE,Inter-Market Sweep
2021-04-01T13:28:56Z,200,1,3.88,388,3.85,4,Mid,166.7,196.87,NASDAQ,Auto-Execution
2021-04-01T13:28:56Z,200,1,4,400,3.75,4,Ask,170.5,196.87,CBOE,Inter-Market Sweep
2021-04-01T13:28:56Z,200,1,4,400,3.75,4,Ask,170.9,196.84,PHLX,Auto-Execution
2021-04-01T13:28:57Z,200,1,3.85,385,3.85,4,Bid,169.9,196.58,EMERALD,Auto-Execution
2021-04-01T13:28:57Z,200,1,3.85,385,3.85,4,Bid,169.1,196.63,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:57Z,200,1,3.75,375,3.75,4,Bid,165.8,196.64,ISE-GEMINI,Auto-Execution
2021-04-01T13:28:57Z,200,4,3.87,1548,3.85,4,Mid,167.6,196.78,NASDAQ,Auto-Execution
2021-04-01T13:28:57Z,200,2,3.88,776,3.85,4,Mid,168.0,196.78,NASDAQ,Auto-Execution
2021-04-01T13:28:57Z,200,1,3.88,388,3.85,4,Mid,168.0,196.78,NASDAQ,Auto-Execution
2021-04-01T13:28:58Z,200,17,3.9,6630,3.9,3.95,Bid,171.0,196.61,PEARL,Auto-Execution
2021-04-01T13:28:58Z,200,2,3.9,780,3.9,3.95,Bid,171.0,196.61,PEARL,Auto-Execution
2021-04-01T13:28:58Z,200,1,3.9,390,3.9,3.95,Bid,171.0,196.61,PEARL,Auto-Execution
2021-04-01T13:28:58Z,200,4,3.82,1528,3.75,4,Mid,168.9,196.58,MERCURY,Regular
2021-04-01T13:28:58Z,200,1,3.85,385,3.75,4,Mid,169.9,196.58,NASDAQ,Auto-Execution
2021-04-01T13:28:59Z,200,1,3.91,391,3.75,3.95,Mid,170.1,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,1,3.92,392,3.75,3.95,Mid,170.4,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,1,3.94,394,3.75,3.95,Mid,171.0,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,1,3.93,393,3.75,3.95,Mid,170.7,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,6,3.94,2364,3.75,3.95,Mid,171.0,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,1,3.93,393,3.75,3.95,Mid,170.7,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,1,3.9,390,3.75,3.95,Mid,169.7,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,3,3.89,1167,3.75,3.95,Mid,169.4,196.7,CBOE,Regular
2021-04-01T13:28:59Z,200,1,3.92,392,3.75,3.95,Mid,170.4,196.7,MIAX,Regular
2021-04-01T13:28:59Z,200,1,3.92,392,3.75,3.95,Mid,170.4,196.7,MIAX,Regular
2021-04-01T13:28:59Z,200,1,3.8,380,3.75,3.8,Ask,167.8,196.61,EMERALD,Auto-Execution
2021-04-01T13:29:00Z,200,1,3.95,395,3.8,4,Mid,172.4,196.62,BATS,Auto-Execution
2021-04-01T13:29:00Z,200,2,3.9,780,3.9,3.95,Bid,170.8,196.62,PEARL,Auto-Execution
2021-04-01T13:29:00Z,200,2,3.9,780,3.9,3.95,Bid,170.8,196.62,NASDAQ,Auto-Execution
2021-04-01T13:29:00Z,200,1,3.9,390,3.9,3.95,Bid,170.8,196.62,NASDAQ,Auto-Execution
2021-04-01T13:29:00Z,200,3,3.9,1170,3.9,3.95,Bid,170.8,196.62,ISE-GEMINI,Auto-Execution
2021-04-01T13:29:00Z,200,2,3.93,786,3.9,3.95,Mid,171.8,196.62,MERCURY,Regular
2021-04-01T13:29:00Z,200,3,3.93,1179,3.9,3.95,Mid,171.8,196.62,EDGX,Regular
2021-04-01T13:29:00Z,200,1,3.9,390,3.9,3.95,Bid,170.8,196.62,NASDAQ,Auto-Execution
2021-04-01T13:29:00Z,200,1,3.9,390,3.9,3.95,Bid,170.8,196.62,NASDAQ,Auto-Execution
2021-04-01T13:29:00Z,200,1,3.9,390,3.9,3.95,Bid,169.7,196.7,NASDAQ,Auto-Execution
2021-04-01T13:29:00Z,200,6,3.95,2370,3.75,3.95,Ask,171.3,196.7,ISE-GEMINI,Regular
2021-04-01T13:29:00Z,200,7,3.94,2758,3.75,3.95,Mid,171.0,196.7,CBOE,Regular
2021-04-01T13:29:02Z,200,1,3.9,390,3.8,3.9,Ask,170.9,196.62,BATS,Auto-Execution
2021-04-01T13:29:03Z,200,6,3.9,2340,3.9,3.95,Bid,172.7,196.49,PEARL,Auto-Execution
2021-04-01T13:29:03Z,200,1,3.9,390,3.8,3.95,Mid,171.0,196.61,BATS,Auto-Execution
2021-04-01T13:29:03Z,200,30,3.86,11580,3.8,3.9,Mid,169.7,196.61,PHLX,Regular
2021-04-01T13:29:04Z,200,1,3.7,370,3.7,3.9,Bid,168.9,196.31,NASDAQ,Auto-Execution
2021-04-01T13:29:04Z,200,1,3.8,380,3.7,3.9,Mid,172.1,196.31,PHLX,Regular
